domain,length,steps,mutexes,instance,propagator
counters,1,1,0,1,exists-lazy
zenotravel,6,4,10,2,exists-lazy
zenotravel,10,6,86,1,exists-lazy
counters,42,7,0,3,exists-lazy
counters,1,1,2,1,exists
zenotravel,16,5,145,5,exists-lazy
zenotravel,12,6,508,1,exists
counters,96,11,12,4,exists
zenotravel,13,5,160,4,exists-lazy
zenotravel,12,4,42,3,exists-lazy
zenotravel,7,5,495,2,exists
counters,8,3,0,2,exists-lazy
counters,8,3,4,2,exists
counters,44,7,8,3,exists
zenotravel,10,4,1707,3,exists
zenotravel,17,5,4141,5,exists
counters,98,11,0,4,exists-lazy
zenotravel,12,5,2130,4,exists
zenotravel,18,7,713,6,exists-lazy
counters,192,15,16,5,exists
zenotravel,17,6,470,7,exists-lazy
zenotravel,17,7,5935,7,exists
zenotravel,16,7,4865,6,exists
zenotravel,20,6,748,8,exists-lazy
counters,276,19,20,6,exists
counters,172,15,2,5,exists-lazy
counters,438,23,24,7,exists
zenotravel,19,6,20779,8,exists
counters,556,27,28,8,exists
counters,280,19,4,6,exists-lazy
counters,736,31,32,9,exists
counters,410,23,4,7,exists-lazy
counters,960,35,36,10,exists
counters,592,27,30,8,exists-lazy
zenotravel,30,9,29895,9,exists-lazy
counters,758,31,44,9,exists-lazy
tsp,1,1,0,1,exists
tsp,5,5,140,5,exists
tsp,3,3,28,3,exists-lazy
tpp,12,4,7,3,exists
tpp,15,4,9,4,exists
tpp,6,4,0,1,exists-lazy
tsp,4,4,66,4,exists
tpp,9,4,5,2,exists
tsp,1,1,0,1,exists-lazy
tsp,4,4,94,4,exists-lazy
rovers,8,4,132,2,exists-lazy
tpp,9,4,0,2,exists-lazy
tsp,3,3,24,3,exists
tpp,15,4,0,4,exists-lazy
tpp,6,4,3,1,exists
tsp,5,5,464,5,exists-lazy
tpp,12,4,0,3,exists-lazy
tpp,24,6,105,5,exists
tsp,6,6,1560,6,exists-lazy
tsp,6,6,255,6,exists
rovers,11,4,1286,2,exists
rovers,11,5,154,1,exists-lazy
rovers,11,6,1364,1,exists
tpp,22,6,12,5,exists-lazy
rovers,17,4,34,4,exists-lazy
rovers,19,6,146,3,exists-lazy
rovers,17,7,4095,3,exists
rovers,34,8,6827,5,exists
tsp,7,7,420,7,exists
rovers,17,4,3188,4,exists
tpp,50,8,2538,8,exists
tpp,40,8,106,7,exists-lazy
tpp,35,8,1906,6,exists
tsp,7,7,4526,7,exists-lazy
tpp,34,8,86,6,exists-lazy
tpp,42,8,2222,7,exists
tpp,51,8,140,8,exists-lazy
rovers,34,7,14901,7,exists
rovers,33,8,3116,5,exists-lazy
rovers,46,11,18250,6,exists
tsp,8,8,644,8,exists
rovers,54,9,1736,9,exists-lazy
rovers,32,7,5804,7,exists-lazy
tpp,61,10,9369,9,exists
tpp,74,10,332,10,exists-lazy
tpp,58,10,336,9,exists-lazy
rovers,49,9,43976,9,exists
tpp,71,10,10407,10,exists
rovers,43,9,60014,8,exists
tsp,8,8,9482,8,exists-lazy
rovers,47,11,11102,6,exists-lazy
rovers,67,12,92848,10,exists
tsp,9,9,936,9,exists
rovers,53,9,41706,8,exists-lazy
tsp,9,9,15032,9,exists-lazy
tsp,10,10,1305,10,exists
rovers,77,12,124534,10,exists-lazy
tsp,3,3,28,3,exists-lazy
tpp,12,4,0,3,exists-lazy
tsp,4,4,94,4,exists-lazy
tsp,1,1,0,1,exists-lazy
tpp,9,4,0,2,exists-lazy
tpp,6,4,0,1,exists-lazy
tsp,5,5,464,5,exists-lazy
tpp,15,4,0,4,exists-lazy
rovers,11,5,154,1,exists-lazy
rovers,8,4,132,2,exists-lazy
tpp,22,6,12,5,exists-lazy
tsp,6,6,1560,6,exists-lazy
rovers,19,6,146,3,exists-lazy
rovers,17,4,34,4,exists-lazy
